File Name,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,E1,F1,F2,G1,G2,G3,H1,H2,H3,I1,I2,I3,J1,J2,J3,K1,K2,K3,L1,L2,L3,M1,M2,N1,N2
woodlandADA_r8_Left_GND_20.las,6.81,6.47,6.29,0.79,0.87,0.17,50,49.75,49.75,7.78,6.82,0.26,0.7,3.14,2.36,2.88,2.36,2.62,1.75,0.17,0.09,0.7,1.75,1.05,0.09,49.75,49.5,49.5,49.5,49.75,49.75,48,47.75,36,36
woodlandADA_r8_Left_GND_16.las,6.02,6.29,6.55,1.22,0.44,0.17,50,49.75,49.25,7.52,6.91,0.79,1.13,3.06,3.93,4.8,1.57,1.13,1.48,0.17,0.44,0.79,1.22,1.05,0.52,49.25,49.25,49.5,50.5,50.5,50.25,48,47.75,36,36
woodlandADA_r7_Left_GND_36.las,6.47,5.94,6.99,2.18,1.66,1.57,49.75,49.75,49.25,4.54,7.52,1.4,1.92,3.49,3.49,4.54,2.36,3.67,3.32,1.22,0.96,1.13,1.57,1.4,1.13,49.25,49,48.75,54.5,57,58.25,46,46,37.25,37.25
woodlandADA_r12_Right_GND_4.las,7.61,6.99,8.49,0.17,0.17,0.7,48.5,48.5,48,6.73,7.17,0.35,0.35,5.24,4.37,5.07,4.19,5.59,4.72,0.61,0.26,0.35,1.22,0.96,0.79,47.5,47,46.25,85.5,96.25,110.5,48.5,48.5,36.25,36.25
woodlandADA_r12_Left_GND_2.las,7.34,7.87,8.13,0.44,0.17,0.61,48.5,48,47.75,7.78,6.64,0.7,0.35,5.07,4.72,5.68,6.38,5.33,5.33,0.52,0.35,0.17,1.22,1.13,1.13,47.75,48,47.5,71.25,71.25,71,48.5,48.25,36.25,36.25
woodlandADA_r12_Right_GND_2.las,9.1,8.75,8.31,0.7,1.22,1.66,48.5,48.75,49.75,7.08,7.61,1.48,1.75,6.2,5.94,6.29,3.67,5.5,4.37,1.57,1.83,1.48,1.83,1.57,1.92,49.75,50.5,50.75,98.75,98.75,98.75,48.5,48.5,36.25,36.25
woodlandADA_r11_Right_GND_5.las,8.57,8.22,8.22,0.7,0.35,0.61,48.5,48.5,47.75,7.17,7.87,0.7,0.44,6.9,7.26,6.12,2.97,2.97,3.14,0.87,0.79,0.79,1.92,1.75,1.57,48,47.5,47,67.5,68.5,70,48.5,48.5,36.25,36.25
woodlandADA_r10_Left_GND_20.las,8.13,7.69,7.52,2.09,2.09,2.88,48.5,48.5,47.5,5.42,9.45,2.79,2.44,3.06,4.63,3.75,0.52,2.62,2.71,2.79,2.01,1.92,1.22,1.31,2.18,47,46.5,46,59.75,60.25,60.5,46,46,37.25,37.25
woodlandADA_r7_Right_GND_7.las,4.37,5.24,6.29,0.26,0.26,0.26,49.5,48.25,47.25,6.91,7.52,1.05,0.96,5.15,4.1,4.89,5.85,3.32,4.72,0.35,0.61,0.79,0.61,0.7,0.96,47.5,47.25,46.75,45.25,45.75,47,46,46,37.25,37.25
woodlandADA_r10_Left_GND_13.las,7.08,8.31,7.34,1.4,1.31,1.05,49.25,49.5,49.75,9.1,5.68,1.05,1.13,4.72,4.72,4.37,4.1,5.15,6.47,0.96,0.79,2.36,0.44,0.52,1.13,49.5,49.5,49.5,57.75,56.25,56.5,46,46,37.25,37.25
woodlandADA_r13_Right_GND_8.las,8.22,8.22,7.69,0.35,0.52,0.87,47.5,48,48.25,7.26,7.34,0.17,0.09,6.38,6.29,5.94,2.09,2.79,2.27,0.35,0.09,0.7,1.13,0.96,0.96,48.5,49.5,50,78.75,75.75,74.25,46,46,37.25,37.25
woodlandADA_r4_Right_GND_27.las,10.86,10.95,10.42,0,0.61,0.17,48.5,47.25,45.5,6.2,6.38,1.13,0.87,6.99,7.17,7.43,2.62,2.88,2.79,0.26,0.79,0.96,2.88,2.62,3.23,44.5,43.5,42.75,52,50.5,50.25,46.25,46.25,37.25,37.25
woodlandADA_r4_Right_GND_8.las,6.12,6.64,7.26,1.83,2.01,1.48,46.25,46.5,47,5.59,5.33,0,0.96,3.49,6.12,6.12,2.44,2.79,1.92,1.13,0.61,0.79,1.13,1.31,1.4,47.5,47.75,48.25,83,85,88.5,46,46,37.25,37.25
woodlandADA_r4_Right_GND_19.las,6.47,6.2,5.5,0.61,0.26,0.61,48.75,48.5,48,5.85,6.47,0.7,0.96,7.34,6.2,5.85,4.19,6.38,1.92,0.35,0.79,0.7,2.09,2.01,1.75,48.25,48,48.25,98.25,93,90,46,46,37.25,37.25
woodlandADA_r6_Left_GND_42.las,8.66,8.75,8.66,0.44,0.09,0.61,48.5,48.5,4,6.47,4.72,0.26,0.35,5.33,5.33,5.5,3.58,4.54,5.59,0.44,0,0.09,0.79,1.22,1.05,49.25,49.5,50,90,84.5,80.25,46,46,37.25,37.25
woodlandADA_r6_Left_GND_36.las,7.17,7.34,7.43,0.79,0.43,0.52,47.25,47.5,48,7.17,5.59,0.52,0.17,7.17,7.43,6.91,2.36,2.44,4.63,0.26,0.61,0.87,0.87,1.13,1.92,48.25,48.25,48.25,74,70.25,67.25,46,46,37.25,37.25
woodlandADA_r12_Left_GND_15.las,8.57,8.22,8.22,0.7,0.35,0.61,48.5,48.5,47.75,7.17,7.87,0.7,0.44,6.9,7.26,6.12,2.97,2.97,3.14,0.87,0.79,0.79,1.92,1.75,1.57,48,47.5,47,67.5,68.5,70,48.5,48.5,36.25,36.25